Sample in Buffer,Sample in Window,TRIGGER,base_i/system_ila_0/inst/net_slot_0_axis_tdata[23:0],base_i/system_ila_0/inst/net_slot_0_axis_tdest,base_i/system_ila_0/inst/net_slot_0_axis_tid,base_i/system_ila_0/inst/net_slot_0_axis_tkeep[2:0],base_i/system_ila_0/inst/net_slot_0_axis_tstrb[2:0],base_i/system_ila_0/inst/net_slot_0_axis_tuser,base_i/system_ila_0/inst/net_slot_0_axis_tvalid,base_i/system_ila_0/inst/net_slot_0_axis_tready,base_i/system_ila_0/inst/net_slot_0_axis_tlast,base_i/system_ila_0/inst/net_slot_1_axis_tdata[23:0],base_i/system_ila_0/inst/net_slot_1_axis_tdest,base_i/system_ila_0/inst/net_slot_1_axis_tid,base_i/system_ila_0/inst/net_slot_1_axis_tuser,base_i/system_ila_0/inst/net_slot_1_axis_tvalid,base_i/system_ila_0/inst/net_slot_1_axis_tready,base_i/system_ila_0/inst/net_slot_1_axis_tlast,base_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],base_i/system_ila_0/inst/net_slot_2_axis_tkeep[3:0],base_i/system_ila_0/inst/net_slot_2_axis_tstrb[3:0],base_i/system_ila_0/inst/net_slot_2_axis_tvalid,base_i/system_ila_0/inst/net_slot_2_axis_tready,base_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(v_tpg_test_0_m_axis_video)[2:0],Interface_(i1:s1)_(axis_switch_in_M00_AXIS)[2:0],Interface_(i1:s2)_(Conn)[2:0],T_Channel_(i1:s0)_(v_tpg_test_0_m_axis_video)[2:0],T_Channel_(i1:s1)_(axis_switch_in_M00_AXIS)[2:0],T_Channel_(i1:s2)_(Conn)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"_","_","_","_","_","_"
1,1,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
2,2,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
3,3,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
4,4,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
5,5,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
6,6,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
7,7,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
8,8,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
9,9,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
10,10,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
11,11,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
12,12,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
13,13,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
14,14,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
15,15,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
16,16,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
17,17,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
18,18,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
19,19,0,ead469,0,0,7,0,0,1,1,0,ead469,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
20,20,0,eaea69,0,0,7,0,0,1,1,0,eaea69,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
21,21,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
22,22,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
23,23,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
24,24,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
25,25,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
26,26,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
27,27,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
28,28,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
29,29,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
30,30,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
31,31,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,69ead469,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
32,32,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,d469eaea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
33,33,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,eaea69ea,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
34,34,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,eaea69ea,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
35,35,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,4cff554c,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
36,36,0,ffff4c,0,0,7,0,0,1,1,0,ffff4c,0,0,0,1,1,0,554cffff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
37,37,0,ff554c,0,0,7,0,0,1,1,0,ff554c,0,0,0,1,1,0,ffff4cff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
